Cycle start time,Cycle end time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-10-30 02:31:40,2022-10-30 22:08:22,32.0,57.0,66.0,7.9,1633.0,156.0,65.0,2022-10-30 02:31:40,2022-10-30 08:16:18,59.0,14.8,320.0,344.0,156.0,82.0,82.0,24.0,539.0,60.0,93.0,33.0
2022-10-28 23:00:54,2022-10-30 03:31:40,61.0,51.0,81.0,10.1,2403.0,147.0,69.0,2022-10-28 23:00:54,2022-10-29 06:55:49,74.0,14.1,448.0,474.0,220.0,77.0,151.0,26.0,608.0,95.0,94.0,81.0
2022-10-27 23:57:00,2022-10-28 23:00:54,58.0,48.0,80.0,16.4,2884.0,174.0,77.0,2022-10-27 23:57:00,2022-10-28 05:54:37,59.0,13.8,339.0,357.0,182.0,57.0,100.0,18.0,573.0,53.0,95.0,76.0
2022-10-26 22:46:45,2022-10-27 23:57:00,57.0,51.0,79.0,17.3,3420.0,177.0,75.0,2022-10-26 22:46:45,2022-10-27 06:14:43,82.0,14.5,427.0,447.0,200.0,110.0,117.0,20.0,524.0,0.0,95.0,80.0
2022-10-25 20:53:45,2022-10-26 22:46:45,68.0,49.0,81.0,18.1,3309.0,179.0,72.0,2022-10-25 20:53:45,2022-10-26 06:49:46,100.0,13.8,554.0,595.0,253.0,108.0,193.0,41.0,550.0,69.0,93.0,65.0
2022-10-24 23:00:34,2022-10-25 20:53:45,68.0,48.0,81.0,10.7,1997.0,160.0,67.0,2022-10-24 23:00:34,2022-10-25 05:54:56,70.0,13.9,387.0,414.0,168.0,83.0,136.0,27.0,555.0,81.0,94.0,85.0
2022-10-23 23:24:03,2022-10-24 23:00:34,71.0,46.0,83.0,8.0,1902.0,154.0,66.0,2022-10-23 23:24:03,2022-10-24 06:10:12,65.0,13.7,367.0,390.0,143.0,79.0,145.0,23.0,566.0,81.0,93.0,82.0
2022-10-23 00:35:07,2022-10-23 23:24:03,53.0,47.0,78.0,11.7,2168.0,153.0,68.0,2022-10-23 00:35:07,2022-10-23 06:47:30,65.0,13.5,353.0,372.0,174.0,70.0,109.0,19.0,543.0,58.0,94.0,73.0
2022-10-21 22:30:35,2022-10-23 00:35:07,52.0,51.0,77.0,11.8,2406.0,158.0,67.0,2022-10-21 22:30:35,2022-10-22 05:54:43,75.0,14.4,416.0,444.0,219.0,75.0,122.0,28.0,556.0,58.0,93.0,90.0
2022-10-20 22:54:34,2022-10-21 22:30:35,49.0,50.0,75.0,14.3,2664.0,165.0,71.0,2022-10-20 22:54:34,2022-10-21 06:38:56,75.0,13.9,426.0,464.0,204.0,107.0,115.0,38.0,571.0,65.0,91.0,92.0
