Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-10-30 22:08:22,,UTC+01:00,79,44,87,33.50,97.19,,,,,2022-10-30 22:08:22,2022-10-31 05:54:36,78,13.3,441,464,189,95,157,23,568,95,95,52
2022-10-30 02:31:40,2022-10-30 22:08:22,UTC+01:00,32,57,66,34.40,97.45,7.9,1633,156,65,2022-10-30 02:31:40,2022-10-30 08:16:18,59,14.8,320,344,156,82,82,24,539,60,93,33
2022-10-28 23:00:54,2022-10-30 03:31:40,UTC+02:00,61,51,81,34.20,95.88,10.1,2403,147,69,2022-10-28 23:00:54,2022-10-29 06:55:49,74,14.1,448,474,220,77,151,26,608,95,94,81
2022-10-27 23:57:00,2022-10-28 23:00:54,UTC+02:00,58,48,80,34.04,95.71,16.4,2884,174,77,2022-10-27 23:57:00,2022-10-28 05:54:37,59,13.8,339,357,182,57,100,18,573,53,95,76
2022-10-26 22:46:45,2022-10-27 23:57:00,UTC+02:00,57,51,79,34.00,96.13,17.3,3420,177,75,2022-10-26 22:46:45,2022-10-27 06:14:43,82,14.5,427,447,200,110,117,20,524,0,95,80
2022-10-25 20:53:45,2022-10-26 22:46:45,UTC+02:00,68,49,81,33.60,98.50,18.1,3309,179,72,2022-10-25 20:53:45,2022-10-26 06:49:46,100,13.8,554,595,253,108,193,41,550,69,93,65
2022-10-24 23:00:34,2022-10-25 20:53:45,UTC+02:00,68,48,81,34.90,97.21,10.7,1997,160,67,2022-10-24 23:00:34,2022-10-25 05:54:56,70,13.9,387,414,168,83,136,27,555,81,94,85
2022-10-23 23:24:03,2022-10-24 23:00:34,UTC+02:00,71,46,83,34.19,97.80,8.0,1902,154,66,2022-10-23 23:24:03,2022-10-24 06:10:12,65,13.7,367,390,143,79,145,23,566,81,93,82
2022-10-23 00:35:07,2022-10-23 23:24:03,UTC+02:00,53,47,78,35.00,97.07,11.7,2168,153,68,2022-10-23 00:35:07,2022-10-23 06:47:30,65,13.5,353,372,174,70,109,19,543,58,94,73
2022-10-21 22:30:35,2022-10-23 00:35:07,UTC+02:00,52,51,77,34.00,97.17,11.8,2406,158,67,2022-10-21 22:30:35,2022-10-22 05:54:43,75,14.4,416,444,219,75,122,28,556,58,93,90
2022-10-20 22:54:34,2022-10-21 22:30:35,UTC+02:00,49,50,75,34.00,96.84,14.3,2664,165,71,2022-10-20 22:54:34,2022-10-21 06:38:56,75,13.9,426,464,204,107,115,38,571,65,91,92
2022-10-19 23:06:58,2022-10-20 22:54:34,UTC+02:00,68,47,88,33.80,96.67,15.5,2674,174,74,2022-10-19 23:06:58,2022-10-20 06:00:03,72,13.5,387,413,181,78,128,26,538,62,95,91
2022-10-18 22:55:53,2022-10-19 23:06:58,UTC+02:00,62,48,85,34.60,97.24,9.1,2082,149,65,2022-10-18 22:55:53,2022-10-19 06:29:03,79,13.6,406,453,179,85,142,47,517,38,90,94
2022-10-17 22:38:03,2022-10-18 22:55:53,UTC+02:00,55,51,79,34.20,98.22,10.1,2124,156,67,2022-10-17 22:38:03,2022-10-18 06:49:46,87,14.1,462,492,268,62,132,30,534,56,93,93
