Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2022-10-30 22:08:22,,UTC+01:00,2022-10-31 07:23:59,2022-10-31 08:30:38,66,Other,5.3,146.0,148,89,31,6,2,0,0,false,,,
2022-10-30 22:08:22,,UTC+01:00,2022-10-31 06:47:06,2022-10-31 07:17:12,30,Cycling,10.9,339.0,172,144,2,12,56,27,0,false,,,
2022-10-27 23:57:00,2022-10-28 23:00:54,UTC+02:00,2022-10-28 07:43:15,2022-10-28 08:51:48,68,Other,5.3,149.0,145,90,49,5,0,0,0,false,,,
2022-10-27 23:57:00,2022-10-28 23:00:54,UTC+02:00,2022-10-28 07:04:43,2022-10-28 07:35:03,30,Cycling,11.4,351.0,174,146,0,14,37,46,0,false,,,
2022-10-26 22:46:45,2022-10-27 23:57:00,UTC+02:00,2022-10-27 17:42:51,2022-10-27 19:46:03,123,Swimming,14.2,971.0,177,126,16,35,40,4,0,false,,,
2022-10-26 22:46:45,2022-10-27 23:57:00,UTC+02:00,2022-10-27 07:16:33,2022-10-27 07:38:07,21,Commuting,8.0,217.0,170,138,2,23,61,14,0,false,,,
2022-10-25 20:53:45,2022-10-26 22:46:45,UTC+02:00,2022-10-26 19:27:08,2022-10-26 20:34:04,66,Running,16.3,891.0,179,156,0,4,17,77,2,true,5607.47,29.45,0.17
2022-10-19 23:06:58,2022-10-20 22:54:34,UTC+02:00,2022-10-20 07:08:21,2022-10-20 08:36:13,87,Other,7.8,290.0,166,102,42,16,7,3,0,false,,,
2022-10-19 23:06:58,2022-10-20 22:54:34,UTC+02:00,2022-10-20 06:32:44,2022-10-20 07:02:50,30,Cycling,11.8,364.0,174,152,3,10,20,67,0,false,,,
2022-10-15 23:13:51,2022-10-16 22:21:30,UTC+02:00,2022-10-16 08:11:17,2022-10-16 10:02:18,111,Swimming,13.4,800.0,178,123,16,37,31,8,0,false,,,
2022-10-13 22:21:51,2022-10-14 22:57:28,UTC+02:00,2022-10-14 07:12:35,2022-10-14 08:16:25,63,Other,5.4,153.0,148,92,38,10,2,0,0,false,,,
2022-10-13 22:21:51,2022-10-14 22:57:28,UTC+02:00,2022-10-14 06:36:32,2022-10-14 07:06:42,30,Cycling,10.4,329.0,166,143,0,17,45,36,0,false,,,
2022-10-12 21:50:32,2022-10-13 22:21:51,UTC+02:00,2022-10-13 15:29:31,2022-10-13 16:48:49,79,Activity,10.2,504.0,151,119,26,53,18,0,0,false,,,
2022-10-09 02:37:16,2022-10-09 21:28:46,UTC+02:00,2022-10-09 17:33:39,2022-10-09 18:32:00,58,Running,15.1,748.0,178,156,1,2,18,78,1,true,6028.65,23.86,-0.18
2022-10-07 23:14:50,2022-10-09 02:37:16,UTC+02:00,2022-10-08 15:12:24,2022-10-08 16:33:09,80,Swimming,11.4,549.0,164,120,24,40,23,6,0,false,,,
2022-10-06 22:21:54,2022-10-07 23:14:50,UTC+02:00,2022-10-07 14:57:19,2022-10-07 15:58:18,60,Other,5.9,168.0,154,91,28,9,6,0,0,false,,,
2022-10-06 22:21:54,2022-10-07 23:14:50,UTC+02:00,2022-10-07 14:22:09,2022-10-07 14:57:06,34,Stairmaster,8.2,257.0,174,122,19,55,12,10,0,false,,,
2022-09-29 22:39:22,2022-09-30 23:20:16,UTC+02:00,2022-09-30 10:09:20,2022-09-30 11:09:25,60,Cycling,12.4,589.0,156,136,2,20,77,0,0,false,,,
2022-09-28 01:31:16,2022-09-28 22:04:43,UTC+02:00,2022-09-28 15:18:38,2022-09-28 16:37:55,79,Running,17.0,988.0,178,151,10,10,7,72,1,false,,,
2022-09-26 22:28:33,2022-09-28 01:31:16,UTC+02:00,2022-09-27 07:17:38,2022-09-27 08:24:40,67,Other,6.7,206.0,171,95,23,6,8,3,0,false,,,
2022-09-26 22:28:33,2022-09-28 01:31:16,UTC+02:00,2022-09-27 06:40:26,2022-09-27 07:10:31,30,Cycling,11.4,367.0,159,149,0,7,55,38,0,false,,,
2022-09-24 22:25:32,2022-09-25 23:02:09,UTC+02:00,2022-09-25 15:01:05,2022-09-25 16:29:01,87,Swimming,13.8,746.0,174,130,13,26,24,30,0,false,,,
2022-09-23 23:39:02,2022-09-24 22:25:32,UTC+02:00,2022-09-24 13:34:15,2022-09-24 15:14:28,100,Running,17.6,1273.0,176,153,0,1,40,59,0,false,,,
2022-09-21 21:57:29,2022-09-22 22:17:43,UTC+02:00,2022-09-22 06:50:34,2022-09-22 07:50:39,60,Cycling,11.5,556.0,144,133,1,53,46,0,0,false,,,
2022-09-20 22:08:56,2022-09-21 21:57:29,UTC+02:00,2022-09-21 14:28:37,2022-09-21 15:04:39,36,Swimming,10.0,322.0,166,131,14,24,37,22,0,false,,,
2022-09-19 01:36:01,2022-09-19 22:48:18,UTC+02:00,2022-09-19 18:08:05,2022-09-19 18:53:35,45,Running,13.2,542.0,183,149,1,9,35,54,1,false,,,
2022-09-17 23:01:12,2022-09-19 01:36:01,UTC+02:00,2022-09-18 07:50:28,2022-09-18 09:38:36,108,Swimming,16.1,1042.0,182,138,14,21,25,36,3,false,,,
2022-09-14 23:09:24,2022-09-15 21:58:45,UTC+02:00,2022-09-15 17:43:42,2022-09-15 18:10:51,27,Running,12.3,365.0,178,155,1,1,26,69,3,false,,,
