Cycle start time,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain
2022-10-30 02:31:40,32.0,57.0,66.0,7.9
2022-10-28 23:00:54,61.0,51.0,81.0,10.1
2022-10-27 23:57:00,58.0,48.0,80.0,16.4
2022-10-26 22:46:45,57.0,51.0,79.0,17.3
2022-10-25 20:53:45,68.0,49.0,81.0,18.1
2022-10-24 23:00:34,68.0,48.0,81.0,10.7
2022-10-23 23:24:03,71.0,46.0,83.0,8.0
2022-10-23 00:35:07,53.0,47.0,78.0,11.7
2022-10-21 22:30:35,52.0,51.0,77.0,11.8
2022-10-20 22:54:34,49.0,50.0,75.0,14.3
2022-10-19 23:06:58,68.0,47.0,88.0,15.5
2022-10-18 22:55:53,62.0,48.0,85.0,9.1
2022-10-17 22:38:03,55.0,51.0,79.0,10.1
2022-10-16 22:21:30,61.0,48.0,84.0,9.6
2022-10-15 23:13:51,70.0,48.0,91.0,14.9
2022-10-14 22:57:28,76.0,51.0,95.0,12.3
2022-10-13 22:21:51,87.0,48.0,105.0,14.1
2022-10-12 21:50:32,74.0,51.0,93.0,13.5
2022-10-12 00:31:31,13.0,66.0,57.0,12.0
2022-10-10 22:13:03,74.0,53.0,95.0,14.1
2022-10-09 21:28:46,63.0,56.0,95.0,10.4
2022-10-09 02:37:16,58.0,50.0,101.0,16.9
2022-10-07 23:14:50,70.0,49.0,87.0,14.4
2022-10-06 22:21:54,86.0,47.0,102.0,15.1
2022-10-05 23:47:53,33.0,52.0,77.0,10.9
2022-10-04 22:22:45,87.0,47.0,97.0,11.0
2022-10-03 22:40:30,83.0,47.0,93.0,9.5
2022-10-02 21:58:09,67.0,50.0,87.0,10.4
2022-10-01 20:01:29,9.0,70.0,54.0,6.7
2022-09-30 23:20:16,54.0,49.0,72.0,13.6
2022-09-29 22:39:22,79.0,46.0,87.0,15.8
2022-09-28 22:04:43,64.0,45.0,78.0,11.2
2022-09-28 01:31:16,1.0,64.0,40.0,18.7
2022-09-26 22:28:33,58.0,45.0,78.0,17.6
2022-09-25 23:02:09,66.0,45.0,81.0,10.2
2022-09-24 22:25:32,89.0,48.0,90.0,15.8
2022-09-23 23:39:02,56.0,48.0,79.0,18.5
2022-09-22 22:17:43,62.0,47.0,79.0,13.1
2022-09-21 21:57:29,71.0,47.0,82.0,15.5
2022-09-20 22:08:56,61.0,48.0,82.0,15.5
2022-09-19 22:48:18,61.0,49.0,84.0,12.6
2022-09-19 01:36:01,42.0,46.0,82.0,15.8
2022-09-17 23:01:12,71.0,46.0,89.0,16.8
2022-09-17 01:54:12,42.0,54.0,77.0,11.3
