Cycle start time,Activity Strain,Average HR (bpm),Max HR (bpm)
2022-10-27 23:57:00,5.3,90,145
2022-10-27 23:57:00,11.4,146,174
2022-10-26 22:46:45,14.2,126,177
2022-10-26 22:46:45,8.0,138,170
2022-10-25 20:53:45,16.3,156,179
2022-10-19 23:06:58,7.8,102,166
2022-10-19 23:06:58,11.8,152,174
2022-10-15 23:13:51,13.4,123,178
2022-10-13 22:21:51,5.4,92,148
2022-10-13 22:21:51,10.4,143,166
2022-10-12 21:50:32,10.2,119,151
2022-10-09 02:37:16,15.1,156,178
2022-10-07 23:14:50,11.4,120,164
2022-10-06 22:21:54,5.9,91,154
2022-10-06 22:21:54,8.2,122,174
2022-09-29 22:39:22,12.4,136,156
2022-09-28 01:31:16,17.0,151,178
2022-09-26 22:28:33,6.7,95,171
2022-09-26 22:28:33,11.4,149,159
2022-09-24 22:25:32,13.8,130,174
2022-09-23 23:39:02,17.6,153,176
2022-09-21 21:57:29,11.5,133,144
2022-09-20 22:08:56,10.0,131,166
2022-09-19 01:36:01,13.2,149,183
2022-09-17 23:01:12,16.1,138,182
2022-09-14 23:09:24,12.3,155,178
2022-09-13 22:07:48,5.4,88,146
2022-09-13 22:07:48,11.0,145,164
2022-09-08 22:20:58,4.2,81,105
2022-09-08 22:20:58,12.7,144,158
2022-09-07 22:55:03,14.1,131,184
2022-09-06 22:24:14,5.5,90,145
2022-09-06 22:24:14,10.9,144,161
2022-09-04 23:18:28,13.7,120,169
2022-09-03 23:07:23,5.8,133,149
2022-08-30 22:52:46,6.3,93,172
2022-08-30 22:52:46,9.5,139,154
2022-08-27 23:21:01,15.4,155,172
2022-08-26 23:06:04,8.4,108,138
2022-08-25 21:51:35,7.5,108,142
2022-08-24 22:09:48,9.1,131,157
2022-08-22 22:05:24,5.7,88,162
2022-08-22 22:05:24,9.2,136,151
2022-08-19 21:38:56,20.7,138,179
2022-08-17 23:03:55,12.6,120,145
2022-08-15 23:14:53,13.1,150,174
2022-08-14 22:53:40,6.4,95,166
2022-08-14 22:53:40,11.9,150,163
2022-08-13 01:34:08,15.0,157,179
2022-08-10 22:02:33,11.4,156,186
2022-08-10 22:02:33,17.1,144,185
2022-08-09 21:56:16,15.5,162,178
2022-08-08 22:39:54,14.9,151,168
2022-08-07 22:08:37,7.4,97,155
2022-08-07 22:08:37,5.1,116,144
2022-08-07 01:51:07,15.0,156,177
2022-08-05 22:22:11,13.9,141,169
2022-08-03 22:23:03,7.4,97,168
2022-08-03 22:23:03,12.0,151,170
2022-08-01 22:30:09,15.7,166,183
2022-07-31 22:40:42,14.1,149,180
2022-07-30 23:56:07,14.0,155,180
