Cycle start time,Cycle end time,Sleep onset,Wake onset,Respiratory rate (rpm),Asleep duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep debt (min)
2022-10-30 02:31:40,2022-10-30 22:08:22,2022-10-30 02:31:40,2022-10-30 08:16:18,14.8,320,156,82,82,24,60
2022-10-28 23:00:54,2022-10-30 03:31:40,2022-10-28 23:00:54,2022-10-29 06:55:49,14.1,448,220,77,151,26,95
2022-10-27 23:57:00,2022-10-28 23:00:54,2022-10-27 23:57:00,2022-10-28 05:54:37,13.8,339,182,57,100,18,53
2022-10-26 22:46:45,2022-10-27 23:57:00,2022-10-26 22:46:45,2022-10-27 06:14:43,14.5,427,200,110,117,20,0
2022-10-25 20:53:45,2022-10-26 22:46:45,2022-10-25 20:53:45,2022-10-26 06:49:46,13.8,554,253,108,193,41,69
2022-10-24 23:00:34,2022-10-25 20:53:45,2022-10-24 23:00:34,2022-10-25 05:54:56,13.9,387,168,83,136,27,81
2022-10-23 23:24:03,2022-10-24 23:00:34,2022-10-23 23:24:03,2022-10-24 06:10:12,13.7,367,143,79,145,23,81
2022-10-23 00:35:07,2022-10-23 23:24:03,2022-10-23 00:35:07,2022-10-23 06:47:30,13.5,353,174,70,109,19,58
2022-10-21 22:30:35,2022-10-23 00:35:07,2022-10-21 22:30:35,2022-10-22 05:54:43,14.4,416,219,75,122,28,58
2022-10-20 22:54:34,2022-10-21 22:30:35,2022-10-20 22:54:34,2022-10-21 06:38:56,13.9,426,204,107,115,38,65
2022-10-19 23:06:58,2022-10-20 22:54:34,2022-10-19 23:06:58,2022-10-20 06:00:03,13.5,387,181,78,128,26,62
2022-10-18 22:55:53,2022-10-19 23:06:58,2022-10-18 22:55:53,2022-10-19 06:29:03,13.6,406,179,85,142,47,38
2022-10-17 22:38:03,2022-10-18 22:55:53,2022-10-17 22:38:03,2022-10-18 06:49:46,14.1,462,268,62,132,30,56
2022-10-16 22:21:30,2022-10-17 22:38:03,2022-10-16 22:21:30,2022-10-17 06:39:57,13.9,462,248,78,136,36,65
2022-10-15 23:13:51,2022-10-16 22:21:30,2022-10-15 23:13:51,2022-10-16 06:45:11,13.9,398,199,50,149,53,68
2022-10-14 22:57:28,2022-10-15 23:13:51,2022-10-14 22:57:28,2022-10-15 06:48:31,14.2,431,211,89,131,40,65
2022-10-13 22:21:51,2022-10-14 22:57:28,2022-10-13 22:21:51,2022-10-14 05:54:38,13.9,421,144,102,175,32,47
2022-10-12 21:50:32,2022-10-13 22:21:51,2022-10-12 21:50:32,2022-10-13 06:15:43,14.6,475,242,82,151,30,81
2022-10-12 00:31:31,2022-10-12 21:50:32,2022-10-12 00:31:31,2022-10-12 06:59:54,16.5,352,218,49,85,36,47
2022-10-10 22:13:03,2022-10-12 00:31:31,2022-10-10 22:13:03,2022-10-11 06:15:38,15.2,453,249,69,135,29,59
2022-10-09 21:28:46,2022-10-10 22:13:03,2022-10-09 21:28:46,2022-10-10 06:45:24,16.4,501,225,113,163,56,109
2022-10-09 02:37:16,2022-10-09 21:28:46,2022-10-09 02:37:16,2022-10-09 07:59:19,14.9,286,113,71,102,36,41
2022-10-07 23:14:50,2022-10-09 02:37:16,2022-10-07 23:14:50,2022-10-08 08:01:09,13.9,488,266,93,129,36,60
2022-10-06 22:21:54,2022-10-07 23:14:50,2022-10-06 22:21:54,2022-10-07 06:14:23,14.2,418,194,78,146,54,83
