Cycle start time,Workout start time,Cycle end time,Workout end time,Duration (min),Activity name,Energy burned (cal),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2022-10-27 23:57:00,2022-10-28 07:43:15,2022-10-28 23:00:54,2022-10-28 08:51:48,68,Other,149.0,49,5,0,0,0,False,,,
2022-10-27 23:57:00,2022-10-28 07:04:43,2022-10-28 23:00:54,2022-10-28 07:35:03,30,Cycling,351.0,0,14,37,46,0,False,,,
2022-10-26 22:46:45,2022-10-27 17:42:51,2022-10-27 23:57:00,2022-10-27 19:46:03,123,Swimming,971.0,16,35,40,4,0,False,,,
2022-10-26 22:46:45,2022-10-27 07:16:33,2022-10-27 23:57:00,2022-10-27 07:38:07,21,Commuting,217.0,2,23,61,14,0,False,,,
2022-10-25 20:53:45,2022-10-26 19:27:08,2022-10-26 22:46:45,2022-10-26 20:34:04,66,Running,891.0,0,4,17,77,2,True,5607.47,29.45,0.17
2022-10-19 23:06:58,2022-10-20 07:08:21,2022-10-20 22:54:34,2022-10-20 08:36:13,87,Other,290.0,42,16,7,3,0,False,,,
2022-10-19 23:06:58,2022-10-20 06:32:44,2022-10-20 22:54:34,2022-10-20 07:02:50,30,Cycling,364.0,3,10,20,67,0,False,,,
2022-10-15 23:13:51,2022-10-16 08:11:17,2022-10-16 22:21:30,2022-10-16 10:02:18,111,Swimming,800.0,16,37,31,8,0,False,,,
2022-10-13 22:21:51,2022-10-14 07:12:35,2022-10-14 22:57:28,2022-10-14 08:16:25,63,Other,153.0,38,10,2,0,0,False,,,
2022-10-13 22:21:51,2022-10-14 06:36:32,2022-10-14 22:57:28,2022-10-14 07:06:42,30,Cycling,329.0,0,17,45,36,0,False,,,
2022-10-12 21:50:32,2022-10-13 15:29:31,2022-10-13 22:21:51,2022-10-13 16:48:49,79,Activity,504.0,26,53,18,0,0,False,,,
