Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2022-10-30 22:08:22,,UTC+01:00,2022-10-30 22:08:22,2022-10-31 05:54:36,78,13.3,441,464,189,95,157,23,568,95,95,52,false
2022-10-30 02:31:40,2022-10-30 22:08:22,UTC+01:00,2022-10-30 02:31:40,2022-10-30 08:16:18,59,14.8,320,344,156,82,82,24,539,60,93,33,false
2022-10-28 23:00:54,2022-10-30 03:31:40,UTC+02:00,2022-10-28 23:00:54,2022-10-29 06:55:49,74,14.1,448,474,220,77,151,26,608,95,94,81,false
2022-10-27 23:57:00,2022-10-28 23:00:54,UTC+02:00,2022-10-27 23:57:00,2022-10-28 05:54:37,59,13.8,339,357,182,57,100,18,573,53,95,76,false
2022-10-26 22:46:45,2022-10-27 23:57:00,UTC+02:00,2022-10-26 22:46:45,2022-10-27 06:14:43,82,14.5,427,447,200,110,117,20,524,0,95,80,false
2022-10-25 20:53:45,2022-10-26 22:46:45,UTC+02:00,2022-10-25 20:53:45,2022-10-26 06:49:46,100,13.8,554,595,253,108,193,41,550,69,93,65,false
2022-10-24 23:00:34,2022-10-25 20:53:45,UTC+02:00,2022-10-24 23:00:34,2022-10-25 05:54:56,70,13.9,387,414,168,83,136,27,555,81,94,85,false
2022-10-23 23:24:03,2022-10-24 23:00:34,UTC+02:00,2022-10-23 23:24:03,2022-10-24 06:10:12,65,13.7,367,390,143,79,145,23,566,81,93,82,false
2022-10-23 00:35:07,2022-10-23 23:24:03,UTC+02:00,2022-10-23 00:35:07,2022-10-23 06:47:30,65,13.5,353,372,174,70,109,19,543,58,94,73,false
2022-10-21 22:30:35,2022-10-23 00:35:07,UTC+02:00,2022-10-21 22:30:35,2022-10-22 05:54:43,75,14.4,416,444,219,75,122,28,556,58,93,90,false
2022-10-20 22:54:34,2022-10-21 22:30:35,UTC+02:00,2022-10-20 22:54:34,2022-10-21 06:38:56,75,13.9,426,464,204,107,115,38,571,65,91,92,false
2022-10-19 23:06:58,2022-10-20 22:54:34,UTC+02:00,2022-10-19 23:06:58,2022-10-20 06:00:03,72,13.5,387,413,181,78,128,26,538,62,95,91,false
2022-10-18 22:55:53,2022-10-19 23:06:58,UTC+02:00,2022-10-18 22:55:53,2022-10-19 06:29:03,79,13.6,406,453,179,85,142,47,517,38,90,94,false
2022-10-17 22:38:03,2022-10-18 22:55:53,UTC+02:00,2022-10-17 22:38:03,2022-10-18 06:49:46,87,14.1,462,492,268,62,132,30,534,56,93,93,false
2022-10-16 22:21:30,2022-10-17 22:38:03,UTC+02:00,2022-10-16 22:21:30,2022-10-17 06:39:57,81,13.9,462,498,248,78,136,36,567,65,92,89,false
2022-10-15 23:13:51,2022-10-16 22:21:30,UTC+02:00,2022-10-15 23:13:51,2022-10-16 06:45:11,72,13.9,398,451,199,50,149,53,556,68,88,85,false
2022-10-14 22:57:28,2022-10-15 23:13:51,UTC+02:00,2022-10-14 22:57:28,2022-10-15 06:48:31,77,14.2,431,471,211,89,131,40,562,65,91,81,false
2022-10-13 22:21:51,2022-10-14 22:57:28,UTC+02:00,2022-10-13 22:21:51,2022-10-14 05:54:38,78,13.9,421,453,144,102,175,32,541,47,93,81,false
2022-10-12 21:50:32,2022-10-13 22:21:51,UTC+02:00,2022-10-12 21:50:32,2022-10-13 06:15:43,84,14.6,475,505,242,82,151,30,567,81,93,72,false
2022-10-12 00:31:31,2022-10-12 21:50:32,UTC+02:00,2022-10-12 00:31:31,2022-10-12 06:59:54,65,16.5,352,388,218,49,85,36,545,47,90,64,false
2022-10-10 22:13:03,2022-10-12 00:31:31,UTC+02:00,2022-10-10 22:13:03,2022-10-11 06:15:38,84,15.2,453,482,249,69,135,29,539,59,94,68,false
2022-10-09 21:28:46,2022-10-10 22:13:03,UTC+02:00,2022-10-09 21:28:46,2022-10-10 06:45:24,80,16.4,501,557,225,113,163,56,626,109,92,58,false
2022-10-09 02:37:16,2022-10-09 21:28:46,UTC+02:00,2022-10-09 02:37:16,2022-10-09 07:59:19,53,14.9,286,322,113,71,102,36,541,41,89,51,false
2022-10-07 23:14:50,2022-10-09 02:37:16,UTC+02:00,2022-10-07 23:14:50,2022-10-08 08:01:09,86,13.9,488,524,266,93,129,36,564,60,92,71,false
2022-10-06 22:21:54,2022-10-07 23:14:50,UTC+02:00,2022-10-06 22:21:54,2022-10-07 06:14:23,74,14.2,418,472,194,78,146,54,565,83,89,84,false
2022-10-05 23:47:53,2022-10-06 22:21:54,UTC+02:00,2022-10-05 23:47:53,2022-10-06 05:54:37,64,15.4,331,366,269,32,30,35,520,38,90,74,false
2022-10-04 22:22:45,2022-10-05 23:47:53,UTC+02:00,2022-10-04 22:22:45,2022-10-05 06:28:52,87,14.0,442,486,247,64,131,44,510,32,90,80,false
2022-10-03 22:40:30,2022-10-04 22:22:45,UTC+02:00,2022-10-03 22:40:30,2022-10-04 06:31:03,89,14.5,424,469,222,68,134,45,479,0,92,78,false
2022-10-02 21:58:09,2022-10-03 22:40:30,UTC+02:00,2022-10-02 21:58:09,2022-10-03 07:02:54,100,15.5,493,545,253,76,164,52,471,0,90,71,false
2022-10-01 20:01:29,2022-10-02 21:58:09,UTC+02:00,2022-10-01 20:01:29,2022-10-02 08:13:50,100,17.4,637,732,489,77,71,95,560,65,87,54,false
